number,course-description
CSED01,"Develop communication, leadership, and teaching skills while working with youth to broaden
participation in computing. With training, student teams assist in after-school programs and K-12
classes to engage youth in computational thinking. Focus on low-entry technologies for creating
interactive stories, games, websites, and robotics projects."
CSED02,"It is hard to have a conversation about the role or potential of technology in education without coming across the term: Computational Thinking (CT). The last decade has seen the term go from a rallying cry from computer scientists to an essential 21st century skill cited in national curricular frameworks and championed as belonging alongside reading, writing and arithmetic as a core instructional goal of education. However, despite its growing prominence and use (or potentially because of it), CT is not without its issues. A lack of clarity on exactly what it is, how it relates to other content areas, and effective ways to assess it all plague those trying to use CT in their research or instruction. This graduate seminar takes a critical look at CT, seeking to understand its historical roots, modern incarnations, and the challenges we still face in working with this amorphous construct."
CSED03,"Examine issues in teaching and learning of programming in Java with a focus teaching of
secondary level students. Teaching and learning of Algorithms; Data structures & representation; Searching & Sorting; Basic software design processes & impacts on society. Developing an educational infrastructure and professional community that supports computing in traditional K-12 environments."
CSED04,"Trends in computing education: pedagogies,
curriculum, languages and tools.
Programming learning. Computing in
education: virtual learning environments,
computer-supported collaborative learning,
educational software, computer-mediated
distance education. Trends in computing in
early childhood, elementary, middle, higher
and continuing education. Qualitative
research approaches in computing and
education: case study, ethnography,
grounded theory, phenomenology and action
research. Data collection techniques and
qualitative data analysis. Quantitative
methods in computing and education:
surveys and experiments. Mixed methods."
CSED06,"Introduction to computing education research (CER). History and influential early
work. Design of research studies in CER, including Multi-Institutional Multi-National, laboratory, and
classroom studies. Grounding in theory from learning sciences, educational psychology, science
education, and HCI .
"
CSED07,"This course will provides students in Engineering Education with strategies and frameworks for understanding computing education research. Introduction to current trends and practices in computing education research (CER). The course will cover history of CER, a brief overview of relevant learning theory and educational concepts, and focus on current topics in CER. Students will explore issues of broadening participation in computing, classroom techniques for teaching computing (programming), computational thinking, and the application of educational psychology, learning science, and science education into the discipline. During the course, students will read articles from the current literature, present information, and participate in classroom discussion."
CSED08,"Familiarizes teachers, grades with pedagogical approaches and
innovative teaching techniques needed to convey to a diverse
population emerging state and professional standards-based
curriculum in computer science. Innovative uses of technology,
development of instructional units, individualizing for a diverse
population of students, and strategies for managing problem behavior
will be emphasized throughout the course."
CSED09,"Provides pedagogical and content knowledge and experiences to be an effective computer science
teachers in the K-12 setting. Misconceptions in programming, teaching debugging, development of
differentiated programming assignments, use of Use-Modify,-Create approach, pedagogy and
classroom engagement practices for supporting student success."
CSED10,"This course is designed for outstanding students who intern as undergraduate mentors in lower division CS
courses. Lecture/discussion surveys current research and best practices in CS pedagogy including student
development theories, different pedagogical techniques, and methods for assessing learning. Students gain
experience working one-on-one with students, fostering positive learning environments, and providing feedback
on student work.
Students who successfully complete this course will earn 4 units towards their major field electives by serving
as a mentor. They will also be eligible to apply for paid tutoring positions in lower division undergraduate
courses in the following quarters."
CSED12,"This course explores ideas related to the use of technology in education and how people learn
computer science concepts. Topics include research methodologies used in computer science
education, how novices learn to program, and how technology can engage students in active
learning, facilitate collaboration and enhance traditional educational practice.
There are two major components to this course -- how students learn Computer Science (Computer
Science Education) and how computers can be used to improve learning in all subjects (Computers
in Education).
Computer Science Education is the study of how students learn computing concepts. We look how
novices learn to program, differences between programming languages and environments used in
computer science education, visualization of computing concepts, curriculum design and delivery,
attitudes and diversity in the computing classroom.
Computers in Education is the study of how computers are used to enhance learning. Computers
play an increasingly important role in modern education as tools to communicate knowledge, engage
students in active learning, and facilitate collaboration. We look at different instructional technologies
and how computer software can enhance traditional education practice, including educational games
and tools that support collaboration."
